date,venue,race_no,horse,stake,odds,prob,result,profit
2024-01-28,ST,1,LITTLE FAIRY,1000.0,2.7,0.4275502583007578,LOSS,-1000.0
2024-01-28,ST,1,DARCI JOY,990.0,8.4,0.23665246647725885,LOSS,-990.0
2024-01-28,ST,2,EAGLE RUN,980.1,34.0,0.28264437923741037,LOSS,-980.1
2024-01-28,ST,2,SMART BEAUTY,970.3,10.0,0.2094370738048681,WIN,8732.69
2024-01-28,ST,3,WINNING HEART,1057.63,37.0,0.6283141181008488,LOSS,-1057.6259
2024-01-28,ST,3,SECOND TO NONE,1047.05,2.3,0.5620520528792294,LOSS,-1047.049641
2024-01-28,ST,3,SONIC BOOM,1036.58,20.0,0.36191977099972,LOSS,-1036.57914459
2024-01-31,HV,1,M M NEBULA,1026.21,16.0,0.5364858325693914,LOSS,-1026.2133531441
2024-01-31,HV,1,JOYFUL CHAMPION,1015.95,8.2,0.2761289968347191,LOSS,-1015.951219612659
2024-01-31,HV,1,AI ONE,1005.79,27.0,0.12623692477094375,LOSS,-1005.7917074165323
2024-02-04,HV,7,CHANCHENG GLORY,995.73,18.0,0.5268119787167583,LOSS,-995.733790342367
2024-02-04,HV,7,BEAUTY CRESCENT,985.78,24.0,0.5129196249877077,LOSS,-985.7764524389434
2024-02-04,HV,7,SPEED DRAGON,975.92,22.0,0.4505100343487986,LOSS,-975.9186879145539
2024-02-07,HV,1,SUPER HORNET,966.16,24.0,0.7444615164874467,LOSS,-966.1595010354083
2024-02-07,HV,1,REGENCY HAPPY STAR,956.5,3.7,0.5023125643078334,LOSS,-956.4979060250542
2024-02-07,HV,1,DASHING GLORY,946.93,64.0,0.294095599503928,LOSS,-946.9329269648038
2024-02-18,ST,1,COPARTNER ERA,937.46,10.0,0.5992426200626028,LOSS,-937.4635976951558
2024-02-18,ST,1,STARSHIP EIGHTY,928.09,6.4,0.21589897065743643,WIN,5011.68
2024-02-18,ST,1,HAPPIHOOD,978.21,44.0,0.2137190916481159,LOSS,-978.2057617182044
2024-02-18,ST,2,NEVER PETER OUT,968.42,84.0,0.2799561390380155,LOSS,-968.4237041010223
2024-02-18,ST,2,SEIZING THE MOMENT,958.74,19.0,0.23843194878288612,LOSS,-958.7394670600121
2024-02-21,HV,1,SAVVY CHIC,949.15,5.7,0.3932272611147758,LOSS,-949.152072389412
2024-02-21,HV,1,BEAU GOSSE,939.66,5.8,0.3250229088850596,LOSS,-939.6605516655179
2024-02-21,HV,1,PHILOS,930.26,29.0,0.2133803072773077,LOSS,-930.2639461488627
2024-02-25,ST,1,WINNING STEPS,920.96,17.0,0.3847415247355021,LOSS,-920.9613066873742
2024-02-25,ST,1,JUBILATION,911.75,9.5,0.2782169133572349,LOSS,-911.7516936205004
2024-02-25,ST,1,DARCI JOY,902.63,7.1,0.1978417410914343,LOSS,-902.6341766842954
2024-02-28,HV,1,NICE BIRDIE,893.61,14.0,0.6741699175405526,LOSS,-893.6078349174525
2024-02-28,HV,1,CIRCUIT ELITE,884.67,42.0,0.5041766914516763,LOSS,-884.6717565682779
2024-02-28,HV,1,PALACE PAL,875.83,4.9,0.3832616422754568,WIN,3415.72
2024-02-28,HV,2,MILLENNIUM FALCON,909.98,6.0,0.5355133055513149,LOSS,-909.9822390025952
2024-02-28,HV,2,MODEST GENTLEMAN,900.88,7.1,0.3085009835959625,LOSS,-900.8824166125693
2024-02-28,HV,2,TACTICAL COMMAND,891.87,5.9,0.2337693254077102,WIN,4370.18
2024-03-03,ST,1,ASIAN ONE,935.58,6.3,0.4973741768848828,LOSS,-935.5753924464434
2024-03-03,ST,1,M M NEBULA,926.22,12.0,0.31902568867560227,LOSS,-926.219638521979
2024-03-03,ST,1,CHARMING STEED,864.84,3.5,0.3126618524232274,LOSS,-864.8420144434306
2024-03-06,HV,1,SONIC BOOM,908.31,18.0,0.4206528710231319,LOSS,-908.309021992325
2024-03-06,HV,1,NOIR RIDER,899.23,24.0,0.3964958061083678,LOSS,-899.2259317724019
2024-03-06,HV,1,WIND SPEEDER,890.23,14.0,0.3233345006516622,LOSS,-890.2336724546778
2024-03-10,HV,10,UNIVERSAL HORIZON,881.33,31.0,0.23079727424812696,LOSS,-881.3313357301312
2024-03-10,ST,1,SPLENDID STAR,872.52,5.6,0.4980264645009746,LOSS,-872.5180223728297
2024-03-10,ST,1,COLOURFUL BARON,863.79,4.4,0.33490233625835253,LOSS,-863.7928421491015
2024-03-10,ST,1,JOYFUL CHAMPION,855.15,8.9,0.23582814806592178,LOSS,-855.1549137276106
2024-03-13,HV,1,ACE TALENT,846.6,6.1,0.2596916471914995,LOSS,-846.6033645903344
2024-03-13,HV,1,SWEET DIAMOND,838.14,10.0,0.19505588006011712,LOSS,-838.137330944431
2024-03-13,HV,1,GREAT DAYS,754.07,7.2,0.1701914195135613,LOSS,-754.0682305608447
2024-03-20,HV,1,SMART BEAUTY,822.22,2.9,0.5969295094898505,LOSS,-822.2152753293782
2024-03-20,HV,1,GO GO GO,813.99,6.9,0.5945412807249274,LOSS,-813.9931225760845
2024-03-20,HV,1,HORSE OF GOOD LUCK,805.85,23.0,0.40847661077866726,LOSS,-805.8531913503236
2024-03-24,HV,6,CIRCUIT MIGHTY,797.79,16.0,0.5484072285662753,LOSS,-797.7946594368204
2024-03-24,HV,6,I CAN,789.82,47.0,0.3890832938946516,LOSS,-789.8167128424521
2024-03-24,ST,1,MUST GO,781.92,7.2,0.3391129662007703,LOSS,-781.9185457140276
2024-03-24,ST,1,ISLAND GOLDEN,774.1,22.0,0.3000586746012557,LOSS,-774.0993602568873
2024-03-27,HV,1,JUMBO LEGEND,328.66,4.2,0.2511654070883614,LOSS,-328.66421967309896
2024-03-27,HV,1,WOOD ON FIRE,763.07,44.0,0.2161889171215321,LOSS,-763.0717244575874
2024-03-27,HV,2,ROMANTIC FANTASY,755.44,8.6,0.6192743649592009,LOSS,-755.4410072130115
2024-03-27,HV,3,BROTHER PEARL,747.89,9.4,0.5257812290648718,LOSS,-747.8865971408813
2024-03-27,HV,3,NORTHERN BEAST,740.41,4.7,0.2853226299481639,LOSS,-740.4077311694725
2024-03-31,ST,1,YOUNG HORIZON,733.0,2.1,0.5160888119380548,WIN,806.3
2024-03-31,ST,1,HEARTY WISH,741.07,13.0,0.12026493782945043,LOSS,-741.0666538577779
2024-03-31,ST,1,BEAT HOLLOW,124.13,9.8,0.10811796795655489,LOSS,-124.12977004629757
2024-03-31,ST,2,SWEET DIAMOND,732.41,11.0,0.8704017215558909,LOSS,-732.414689618737
2024-03-31,ST,2,NOBLE ONE,725.09,3.2,0.37530031707432576,LOSS,-725.0905427225497
2024-03-31,ST,2,GREAT DAYS,717.84,11.0,0.2631084431630119,LOSS,-717.8396372953242
2024-04-03,ST,1,M M NEBULA,710.66,3.6,0.444242171658575,LOSS,-710.6612409223709
2024-04-03,ST,1,SUPERB MOVE,703.55,10.0,0.4057061535809985,LOSS,-703.5546285131472
2024-04-03,ST,1,JOYFUL CHAMPION,696.52,7.1,0.24828807569452913,WIN,4248.77
2024-04-03,ST,2,SUPER JOY,739.01,4.2,0.3573092059327774,WIN,2364.82
2024-04-03,ST,2,BEAU GOSSE,762.65,28.0,0.3316465389265121,LOSS,-762.6549822280159
2024-04-03,ST,2,SPANGLE FORTUNE,755.03,8.5,0.2773013657351666,LOSS,-755.0284324057357
2024-04-07,ST,1,YEE CHEONG WARRIOR,747.48,7.7,0.4023367180340961,LOSS,-747.4781480816783
2024-04-07,ST,1,MEDIC ELITE,740.0,20.0,0.2731502042804465,LOSS,-740.0033666008617
2024-04-07,ST,2,DARCI JOY,732.6,4.9,0.27174641916784625,LOSS,-732.6033329348529
2024-04-07,ST,2,ESCAPE ROUTE,725.28,8.8,0.24414433088767856,LOSS,-725.2772996055044
2024-04-07,ST,2,WINNING STEPS,718.02,12.0,0.2144240774452718,WIN,7898.27
2024-04-10,HV,1,COLOURFUL BARON,797.01,6.2,0.23318814528347073,LOSS,-797.0072266094494
2024-04-10,HV,1,SUPERB DADDY,314.2,6.4,0.1696895057910779,LOSS,-314.200574968093
2024-04-10,HV,1,NICE BIRDIE,641.34,7.3,0.16515710820902393,WIN,4040.42
2024-04-10,HV,2,HAPPY GOLF,826.3,8.2,0.5959947784561628,LOSS,-826.2993485936739
2024-04-10,HV,2,E UNIVERSE,818.04,9.3,0.26946348265549364,WIN,6789.7
2024-04-10,HV,2,STREET CONQUEROR,885.93,5.9,0.2305521874859133,LOSS,-885.9333551077372
2024-04-14,ST,1,SANTORINI,877.07,9.5,0.39157430031202084,LOSS,-877.0740215566598
2024-04-14,ST,1,THUNDER BLINK,868.3,8.9,0.19286529265078128,WIN,6859.6
2024-04-14,ST,2,GOOD VIEW GLORY,936.9,3.3,0.6991542274381505,LOSS,-936.8992813410932
2024-04-14,ST,2,BEAT HOLLOW,927.53,4.9,0.3048254215164718,LOSS,-927.5302885276823
2024-04-14,ST,2,PERFECT PEACH,918.25,9.8,0.26421662714311667,LOSS,-918.2549856424056
2024-04-17,HV,1,GOODMANSHIP,909.07,10.0,0.6021793271712695,LOSS,-909.0724357859815
2024-04-17,HV,1,HERO STAR,899.98,7.8,0.36062953960324007,LOSS,-899.9817114281217
2024-04-17,HV,1,SWEET DIAMOND,890.98,12.0,0.3175821772210563,LOSS,-890.9818943138405
2024-04-24,HV,1,HARMONY FIRE,20.72,3.4,0.29478099432354643,LOSS,-20.723003488031534
2024-04-24,HV,1,HAPPY UNITED,881.86,22.0,0.19677793972894053,LOSS,-881.8648453358218
2024-04-24,HV,2,SPLENDID STAR,873.05,6.3,0.44016707607649624,LOSS,-873.0461968824636
2024-04-24,HV,2,BROTHER PEARL,864.32,10.0,0.23914883528387437,LOSS,-864.315734913639
2024-04-24,HV,2,DIAMOND WINNER,855.67,14.0,0.1851540297582828,LOSS,-855.6725775645025
2024-04-28,ST,1,ROMANTIC FANTASY,847.12,11.0,0.43266896834768986,LOSS,-847.1158517888574
2024-04-28,ST,1,ESCAPE ROUTE,838.64,18.0,0.32954410408832296,LOSS,-838.6446932709689
2024-04-28,ST,1,SHARPEN BRIGHT,830.26,4.3,0.27810872856251617,LOSS,-830.2582463382593
2024-06-02,HV,3,GENERAL WINNER,257.76,4.3,0.24218478851741848,LOSS,-257.7615016508932
2024-06-02,HV,3,TACTICAL COMMAND,166.05,6.4,0.1630894707022255,LOSS,-166.04776768039974
2024-06-02,HV,3,AROMATICA,817.72,22.0,0.12903606190212732,LOSS,-817.7175711815637
2024-06-02,ST,1,YEE CHEONG WARRIOR,809.54,15.0,0.503326573466805,LOSS,-809.5403954697481
2024-06-02,ST,1,JOYFUL CHAMPION,801.44,8.9,0.328015200832958,LOSS,-801.4449915150506
2024-06-02,ST,1,HAPPY HERO,793.43,4.0,0.32404847055368136,WIN,2380.29
2024-06-05,HV,1,KING INVINCIBLE,817.23,5.9,0.3183194775622067,LOSS,-817.2334415999
2024-06-05,HV,1,MULTIMORE,809.06,19.0,0.2954673333728353,LOSS,-809.061107183901
2024-06-05,HV,1,PLENTIFUL,800.97,13.0,0.2660618586488197,LOSS,-800.9704961120619
2024-06-12,HV,1,SMART FOLKS,792.96,48.0,0.37369945481653627,LOSS,-792.9607911509414
2024-06-12,HV,1,VIVA A LA,785.03,5.9,0.26174799717208735,LOSS,-785.031183239432
2024-06-12,HV,1,KEEN UNITY,777.18,7.0,0.2232954246350325,LOSS,-777.1808714070377
2024-06-23,HV,11,JOLLY RULER,769.41,18.0,0.403322349709623,LOSS,-769.4090626929673
2024-06-23,HV,11,STELLAR EXPRESS,761.71,5.7,0.39809351453944636,LOSS,-761.7149720660376
2024-06-23,HV,11,HUGE WAVE,754.1,21.0,0.38472177864751517,LOSS,-754.0978223453773
2024-06-26,HV,1,ARTHUR'S KINGDOM,746.56,2.4,0.48954239440727165,WIN,1045.18
