race_date,country,venue,race_no,race_name,distance,race_class,going,horse_name,finish_pos,win_odds,win_odds_decimal,jockey,trainer,weight,draw,margin,finish_time,horse_no
2026-08-01,UK,Doncaster,1,Aalberts IPS Pegler Valves Novice Stakes (GBB Race),6f,Class 4,Good To Firm,Kohana Nation,2,2/5F,1.4,,,,0,,,0
2026-08-01,UK,Doncaster,1,Aalberts IPS Pegler Valves Novice Stakes (GBB Race),6f,Class 4,Good To Firm,Brash,1,11/4,3.75,,,,0,,,0
2026-08-01,UK,Doncaster,1,Aalberts IPS Pegler Valves Novice Stakes (GBB Race),6f,Class 4,Good To Firm,Stoneacre Joe,3,8/1,9.0,Oisin Orr,Charles Hills,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Weleyff,2,5/4F,2.25,,,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Lincoln Warrior,4,8/1,9.0,,,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Eighth Immortal,3,11/4,3.75,Oisin Orr,Edward Bethell,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Tiora Time,13,15/8F,2.875,,,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Arenite,1,11/1,12.0,,,,0,,,0
2026-08-01,UK,Doncaster,2,Bapp Group Of Companies Bapp Nursery Handicap,7f,Class 4,Good To Firm,Romotoso,10,9/2,5.5,Neil Callan,Tom Clover,,0,,,0
2026-08-01,UK,Doncaster,3,Yates Drywall Ltd Handicap,1m2f,Class 6,Good To Firm,Mariner,3,7/4,2.75,,,,0,,,0
2026-08-01,UK,Doncaster,3,Yates Drywall Ltd Handicap,1m2f,Class 6,Good To Firm,Whiskey Pete,5,7/1,8.0,,,,0,,,0
2026-08-01,UK,Doncaster,3,Yates Drywall Ltd Handicap,1m2f,Class 6,Good To Firm,Super Hit,1,6/5F,2.2,Jude Fernandes,Jennie Candlish,,0,,,0
2026-08-01,UK,Doncaster,4,Winners Wear Skopes Menswear Handicap,7f,Class 4,Good To Firm,Suspicious Mindz,2,7/2,4.5,,,,0,,,0
2026-08-01,UK,Doncaster,4,Winners Wear Skopes Menswear Handicap,7f,Class 4,Good To Firm,Shadow Run,6,18/1,19.0,,,,0,,,0
2026-08-01,UK,Doncaster,4,Winners Wear Skopes Menswear Handicap,7f,Class 4,Good To Firm,Haaderr,1,3/1,4.0,Shay Farmer,Seb Spencer,,0,,,0
2026-08-01,UK,Doncaster,5,Harrison College Handicap (Div I),7f,Class 6,Good To Firm,Emerald Army,8,5/1,6.0,,,,0,,,0
2026-08-01,UK,Doncaster,5,Harrison College Handicap (Div I),7f,Class 6,Good To Firm,Operation Gimcrack,3,9/2,5.5,,,,0,,,0
2026-08-01,UK,Doncaster,5,Harrison College Handicap (Div I),7f,Class 6,Good To Firm,Get Up Everybody,2,3/1F,4.0,James Sullivan,Ruth Carr,,0,,,0
2026-08-01,UK,Doncaster,6,Harrison College Handicap (Div II),7f,Class 6,Good To Firm,Von Trotter,6,100/30,4.333333333333334,,,,0,,,0
2026-08-01,UK,Doncaster,6,Harrison College Handicap (Div II),7f,Class 6,Good To Firm,Wilde And Dandy,2,5/2F,3.5,,,,0,,,0
2026-08-01,UK,Doncaster,6,Harrison College Handicap (Div II),7f,Class 6,Good To Firm,Sir David,4,6/1,7.0,Oliver Stammers,Michael & David Easterby,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Firm,Shazani,4,2/1J,3.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Firm,Another Investment,1,2/1J,3.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Firm,Ziggy's Condor,2,7/1,8.0,Jack Gilligan,Roy Bowring,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Columbus,2,10/11F,1.9090909090909092,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Leader Allen,4,12/1,13.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Tyson Fury,7,10/1,11.0,Paul Townend,W P Mullins,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Fiveonefive,7,10/1,11.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Metamorpheus,22,12/1,13.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Paul's Dream,3,100/30F,4.333333333333334,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Red Glory,6,16/1,17.0,Jack Kennedy,Cian Collins,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Grann's Boy,11,18/1,19.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Pinot Gris,2,33/1,34.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Double Powerful,4,20/1,21.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Mousey Brown,13,11/1,12.0,Sean Flanagan,H Rogers,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Sarahs Lawn,17,6/1,7.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,Fleur Dino,13,3/1F,4.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Good To Yielding,She Was The One,18,11/1,12.0,Mr D L Queally,Declan Queally,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Victory Speech,3,11/10F,2.1,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Zarak Pasha,4,6/4,2.5,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Thomas Chippendale,2,5/1,6.0,Wayne Lordan,A P O'Brien,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Rest Your Mind,4,15/2,8.5,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Royal Bones,9,7/4F,2.75,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Suir Monad,12,3/1,4.0,W J Lee,Gerard Edmund O'Leary,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Faoladh,8,22/1,23.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,The Sweet Escape,7,13/2,7.5,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Apache Outlaw,1,4/1,5.0,Adam Browne-Souza,Andrew Slattery,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Sir Jeremy,16,11/1,12.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Thatwilldoso,8,13/2,7.5,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Thyer,12,14/1,15.0,,,,0,,,0
2026-08-01,UK,Doncaster,7,Grace And Dotty Handicap,6f,Class 5,Yielding,Pillar Of Hope,15,12/1,13.0,Paddy Harnett,Noel Meade,,0,,,0
2026-08-01,UK,Goodwood,1,Highclere Castle Gin Summer Handicap (GBBPlus Race),1m6f,Class 2,Good To Firm,Hopewell Rock,4,5/1,6.0,,,,0,,,0
2026-08-01,UK,Goodwood,1,Highclere Castle Gin Summer Handicap (GBBPlus Race),1m6f,Class 2,Good To Firm,Small Fry,13,6/1,7.0,,,,0,,,0
2026-08-01,UK,Goodwood,1,Highclere Castle Gin Summer Handicap (GBBPlus Race),1m6f,Class 2,Good To Firm,Aeronautic,7,11/4,3.75,Ryan Moore,George Boughey,,0,,,0
2026-08-01,UK,Goodwood,2,Coral Glorious Stakes (Group 3),1m4f,Class 1,Good To Firm,Enfjaar,2,8/1,9.0,,,,0,,,0
2026-08-01,UK,Goodwood,2,Coral Glorious Stakes (Group 3),1m4f,Class 1,Good To Firm,Opportunity,7,15/8F,2.875,,,,0,,,0
2026-08-01,UK,Goodwood,2,Coral Glorious Stakes (Group 3),1m4f,Class 1,Good To Firm,Al Aasy,1,9/2,5.5,Ray Dawson,Roger Varian,,0,,,0
2026-08-01,UK,Goodwood,3,Qatar Lillie Langtry Stakes (Group 2) (Fillies & Mares),1m6f,Class 1,Good To Firm,Goodie Two Shoes,4,8/1,9.0,,,,0,,,0
2026-08-01,UK,Goodwood,3,Qatar Lillie Langtry Stakes (Group 2) (Fillies & Mares),1m6f,Class 1,Good To Firm,Santorini Star,1,4/1,5.0,,,,0,,,0
2026-08-01,UK,Goodwood,3,Qatar Lillie Langtry Stakes (Group 2) (Fillies & Mares),1m6f,Class 1,Good To Firm,Waardah,6,9/4F,3.25,Dylan Browne McMonagle,Joseph Patrick O'Brien,,0,,,0
2026-08-01,UK,Goodwood,4,Coral Stewards' Cup (Heritage Handicap),6f,Class 2,Good To Firm,Evening Saigon,26,16/1,17.0,,,,0,,,0
2026-08-01,UK,Goodwood,4,Coral Stewards' Cup (Heritage Handicap),6f,Class 2,Good To Firm,Stratusnine,13,25/1,26.0,,,,0,,,0
2026-08-01,UK,Goodwood,4,Coral Stewards' Cup (Heritage Handicap),6f,Class 2,Good To Firm,Mitbaahy,4,14/1,15.0,,,,0,,,0
2026-08-01,UK,Goodwood,4,Coral Stewards' Cup (Heritage Handicap),6f,Class 2,Good To Firm,Completely Random,10,7/1,8.0,James Doyle,Hamad Al Jehani,,0,,,0
2026-08-01,UK,Goodwood,5,Phase Eight Handicap,7f,Class 2,Good To Firm,Ghost Mode,5,9/2,5.5,,,,0,,,0
2026-08-01,UK,Goodwood,5,Phase Eight Handicap,7f,Class 2,Good To Firm,Ironwill,8,10/1,11.0,,,,0,,,0
2026-08-01,UK,Goodwood,5,Phase Eight Handicap,7f,Class 2,Good To Firm,We're Goosers,3,11/8F,2.375,Rob Hornby,Andrew Balding,,0,,,0
2026-08-01,UK,Goodwood,6,British Stallion Studs EBF Maiden Stakes (Colts And Geldings Only),7f,Class 2,Good To Firm,Rafe's Da Man,9,12/1,13.0,,,,0,,,0
2026-08-01,UK,Goodwood,6,British Stallion Studs EBF Maiden Stakes (Colts And Geldings Only),7f,Class 2,Good To Firm,Charted Course,3,9/2,5.5,,,,0,,,0
